PALAVRAS DA ARVORE AVL COM A QUANTIDADE DE OCORRENCIAS
PALAVRA: a                             	Qtde: 21728
PALAVRA: added                         	Qtde: 80
PALAVRA: addition                      	Qtde: 16
PALAVRA: additional                    	Qtde: 80
PALAVRA: additions                     	Qtde: 16
PALAVRA: address                       	Qtde: 144
PALAVRA: addressed                     	Qtde: 16
PALAVRA: addresses                     	Qtde: 16
PALAVRA: addressing                    	Qtde: 32
PALAVRA: adhering                      	Qtde: 16
PALAVRA: adjectives                    	Qtde: 16
PALAVRA: admirable                     	Qtde: 64
PALAVRA: admiration                    	Qtde: 64
PALAVRA: admission                     	Qtde: 16
PALAVRA: admit                         	Qtde: 32
PALAVRA: admitted                      	Qtde: 16
PALAVRA: ado                           	Qtde: 16
PALAVRA: adopt                         	Qtde: 16
PALAVRA: adopted                       	Qtde: 16
PALAVRA: advance                       	Qtde: 16
PALAVRA: advances                      	Qtde: 16
PALAVRA: advantage                     	Qtde: 80
PALAVRA: adventure                     	Qtde: 112
PALAVRA: adventures                    	Qtde: 64
PALAVRA: advice                        	Qtde: 96
PALAVRA: advisability                  	Qtde: 16
PALAVRA: advisable                     	Qtde: 16
PALAVRA: advise                        	Qtde: 32
PALAVRA: advising                      	Qtde: 16
PALAVRA: affair                        	Qtde: 176
PALAVRA: affairs                       	Qtde: 160
PALAVRA: affected                      	Qtde: 16
PALAVRA: affection                     	Qtde: 32
PALAVRA: afforded                      	Qtde: 16
PALAVRA: afoot                         	Qtde: 16
PALAVRA: afraid                        	Qtde: 64
PALAVRA: africa                        	Qtde: 16
PALAVRA: african                       	Qtde: 32
PALAVRA: after                         	Qtde: 864
PALAVRA: afternoon                     	Qtde: 96
PALAVRA: afterthoughts                 	Qtde: 16
PALAVRA: afterwards                    	Qtde: 144
PALAVRA: again                         	Qtde: 992
PALAVRA: against                       	Qtde: 752
PALAVRA: agape                         	Qtde: 16
PALAVRA: age                           	Qtde: 96
PALAVRA: ageblackened                  	Qtde: 16
PALAVRA: agencies                      	Qtde: 16
PALAVRA: agency                        	Qtde: 64
PALAVRA: agent                         	Qtde: 80
PALAVRA: agents                        	Qtde: 32
PALAVRA: agentthat                     	Qtde: 16
PALAVRA: agentthe                      	Qtde: 16
PALAVRA: aghast                        	Qtde: 16
PALAVRA: agile                         	Qtde: 16
PALAVRA: agitated                      	Qtde: 16
PALAVRA: agitation                     	Qtde: 32
PALAVRA: ago                           	Qtde: 80
PALAVRA: agonized                      	Qtde: 32
PALAVRA: agony                         	Qtde: 32
PALAVRA: agothe                        	Qtde: 16
PALAVRA: agree                         	Qtde: 176
PALAVRA: agreed                        	Qtde: 48
PALAVRA: agreement                     	Qtde: 288
PALAVRA: ah                            	Qtde: 80
PALAVRA: ahead                         	Qtde: 32
PALAVRA: aid                           	Qtde: 80
PALAVRA: aided                         	Qtde: 32
PALAVRA: aiding                        	Qtde: 16
PALAVRA: ailing                        	Qtde: 16
PALAVRA: air                           	Qtde: 272
PALAVRA: ak                            	Qtde: 16
PALAVRA: alarmed                       	Qtde: 64
PALAVRA: alarms                        	Qtde: 16
PALAVRA: alert                         	Qtde: 64
PALAVRA: alertness                     	Qtde: 16
PALAVRA: alighted                      	Qtde: 16
PALAVRA: alive                         	Qtde: 96
PALAVRA: all                           	Qtde: 3680
PALAVRA: allby                         	Qtde: 16
PALAVRA: alley                         	Qtde: 256
PALAVRA: allow                         	Qtde: 112
PALAVRA: allowed                       	Qtde: 48
PALAVRA: allows                        	Qtde: 16
PALAVRA: ally                          	Qtde: 32
PALAVRA: almoner                       	Qtde: 16
PALAVRA: almost                        	Qtde: 208
PALAVRA: aloft                         	Qtde: 16
PALAVRA: alone                         	Qtde: 320
PALAVRA: along                         	Qtde: 320
PALAVRA: aloud                         	Qtde: 48
PALAVRA: already                       	Qtde: 512
PALAVRA: also                          	Qtde: 688
PALAVRA: alteration                    	Qtde: 16
PALAVRA: altered                       	Qtde: 16
PALAVRA: alternate                     	Qtde: 16
PALAVRA: alternative                   	Qtde: 64
PALAVRA: alternatives                  	Qtde: 16
PALAVRA: although                      	Qtde: 32
PALAVRA: altogether                    	Qtde: 48
PALAVRA: alton                         	Qtde: 16
PALAVRA: always                        	Qtde: 480
PALAVRA: am                            	Qtde: 1344
PALAVRA: amateur                       	Qtde: 16
PALAVRA: amazed                        	Qtde: 16
PALAVRA: amazement                     	Qtde: 128
PALAVRA: amazing                       	Qtde: 16
PALAVRA: ambitious                     	Qtde: 16
PALAVRA: ambush                        	Qtde: 32
PALAVRA: america                       	Qtde: 96
PALAVRA: american                      	Qtde: 16
PALAVRA: amiability                    	Qtde: 16
PALAVRA: amiable                       	Qtde: 64
PALAVRA: amid                          	Qtde: 144
PALAVRA: among                         	Qtde: 336
PALAVRA: amount                        	Qtde: 32
PALAVRA: ample                         	Qtde: 32
PALAVRA: amused                        	Qtde: 16
PALAVRA: amusement                     	Qtde: 48
PALAVRA: an                            	Qtde: 3264
PALAVRA: analogous                     	Qtde: 16
PALAVRA: anatomy                       	Qtde: 16
PALAVRA: ancestors                     	Qtde: 48
PALAVRA: ancestral                     	Qtde: 16
PALAVRA: ancient                       	Qtde: 32
PALAVRA: and                           	Qtde: 26976
PALAVRA: anderson                      	Qtde: 16
PALAVRA: angel                         	Qtde: 16
PALAVRA: anger                         	Qtde: 80
PALAVRA: angle                         	Qtde: 32
PALAVRA: angry                         	Qtde: 80
PALAVRA: anguishburst                  	Qtde: 16
PALAVRA: animal                        	Qtde: 144
PALAVRA: animation                     	Qtde: 16
PALAVRA: announced                     	Qtde: 16
PALAVRA: annoyance                     	Qtde: 16
PALAVRA: anon                          	Qtde: 16
PALAVRA: another                       	Qtde: 400
PALAVRA: anothera                      	Qtde: 16
PALAVRA: answer                        	Qtde: 400
PALAVRA: answered                      	Qtde: 144
PALAVRA: antennae                      	Qtde: 16
PALAVRA: anthony                       	Qtde: 32
PALAVRA: anthropological               	Qtde: 16
PALAVRA: anticipated                   	Qtde: 16
PALAVRA: anticipation                  	Qtde: 32
PALAVRA: antiquarian                   	Qtde: 16
PALAVRA: antonio                       	Qtde: 16
PALAVRA: anxieties                     	Qtde: 16
PALAVRA: anxiety                       	Qtde: 64
PALAVRA: anxious                       	Qtde: 64
PALAVRA: any                           	Qtde: 2096
PALAVRA: anyhow                        	Qtde: 48
PALAVRA: anyone                        	Qtde: 368
PALAVRA: anything                      	Qtde: 640
PALAVRA: anywhere                      	Qtde: 80
PALAVRA: apart                         	Qtde: 64
PALAVRA: apartment                     	Qtde: 16
PALAVRA: apologies                     	Qtde: 16
PALAVRA: apology                       	Qtde: 32
PALAVRA: appalling                     	Qtde: 16
PALAVRA: apparently                    	Qtde: 48
PALAVRA: apparition                    	Qtde: 64
PALAVRA: appeal                        	Qtde: 16
PALAVRA: appeals                       	Qtde: 16
PALAVRA: appear                        	Qtde: 32
PALAVRA: appearance                    	Qtde: 176
PALAVRA: appeared                      	Qtde: 144
PALAVRA: appearing                     	Qtde: 16
PALAVRA: appears                       	Qtde: 128
PALAVRA: applicable                    	Qtde: 48
PALAVRA: application                   	Qtde: 16
PALAVRA: applies                       	Qtde: 16
PALAVRA: apply                         	Qtde: 48
PALAVRA: appointed                     	Qtde: 32
PALAVRA: appointment                   	Qtde: 160
PALAVRA: appreciate                    	Qtde: 16
PALAVRA: appreciation                  	Qtde: 32
PALAVRA: approach                      	Qtde: 48
PALAVRA: approached                    	Qtde: 112
PALAVRA: approaching                   	Qtde: 16
PALAVRA: approbation                   	Qtde: 16
PALAVRA: approval                      	Qtde: 16
PALAVRA: apron                         	Qtde: 16
PALAVRA: arch                          	Qtde: 16
PALAVRA: architect                     	Qtde: 16
PALAVRA: archive                       	Qtde: 208
PALAVRA: are                           	Qtde: 3504
PALAVRA: argue                         	Qtde: 16
PALAVRA: argued                        	Qtde: 16
PALAVRA: argument                      	Qtde: 16
PALAVRA: arguments                     	Qtde: 16
PALAVRA: aright                        	Qtde: 16
PALAVRA: arise                         	Qtde: 32
PALAVRA: arm                           	Qtde: 80
PALAVRA: armchair                      	Qtde: 32
PALAVRA: armed                         	Qtde: 32
PALAVRA: arms                          	Qtde: 96
PALAVRA: around                        	Qtde: 160
PALAVRA: aroused                       	Qtde: 32
PALAVRA: arrange                       	Qtde: 16
PALAVRA: arranged                      	Qtde: 80
PALAVRA: arrangements                  	Qtde: 64
PALAVRA: array                         	Qtde: 16
PALAVRA: arrest                        	Qtde: 48
PALAVRA: arrested                      	Qtde: 32
PALAVRA: arrival                       	Qtde: 96
PALAVRA: arrive                        	Qtde: 32
PALAVRA: arrived                       	Qtde: 64
PALAVRA: arrives                       	Qtde: 16
PALAVRA: arrow                         	Qtde: 16
PALAVRA: art                           	Qtde: 32
PALAVRA: arthur                        	Qtde: 64
PALAVRA: article                       	Qtde: 112
PALAVRA: articles                      	Qtde: 16
PALAVRA: articulate                    	Qtde: 16
PALAVRA: artificial                    	Qtde: 16
PALAVRA: artist                        	Qtde: 16
PALAVRA: as                            	Qtde: 6640
PALAVRA: ascertain                     	Qtde: 16
PALAVRA: ascii                         	Qtde: 32
PALAVRA: ash                           	Qtde: 32
PALAVRA: ashamed                       	Qtde: 64
PALAVRA: ashes                         	Qtde: 32
PALAVRA: aside                         	Qtde: 48
PALAVRA: asis                          	Qtde: 16
PALAVRA: ask                           	Qtde: 336
PALAVRA: asked                         	Qtde: 640
PALAVRA: asking                        	Qtde: 128
PALAVRA: asleep                        	Qtde: 32
PALAVRA: asperity                      	Qtde: 16
PALAVRA: assassin                      	Qtde: 16
PALAVRA: assist                        	Qtde: 16
PALAVRA: assistance                    	Qtde: 96
PALAVRA: assistants                    	Qtde: 16
PALAVRA: associated                    	Qtde: 144
PALAVRA: assumed                       	Qtde: 16
PALAVRA: assumes                       	Qtde: 16
PALAVRA: assurance                     	Qtde: 16
PALAVRA: assure                        	Qtde: 192
PALAVRA: astonished                    	Qtde: 32
PALAVRA: astonishment                  	Qtde: 32
PALAVRA: astounded                     	Qtde: 32
PALAVRA: astronomer                    	Qtde: 16
PALAVRA: astutely                      	Qtde: 16
PALAVRA: at                            	Qtde: 6064
PALAVRA: atavism                       	Qtde: 16
PALAVRA: athletic                      	Qtde: 16
PALAVRA: atmosphere                    	Qtde: 48
PALAVRA: atone                         	Qtde: 32
PALAVRA: atrocious                     	Qtde: 48
PALAVRA: attached                      	Qtde: 80
PALAVRA: attachment                    	Qtde: 32
PALAVRA: attacked                      	Qtde: 32
PALAVRA: attacks                       	Qtde: 16
PALAVRA: attain                        	Qtde: 16
PALAVRA: attempt                       	Qtde: 32
PALAVRA: attempting                    	Qtde: 16
PALAVRA: attempts                      	Qtde: 16
PALAVRA: attend                        	Qtde: 16
PALAVRA: attendant                     	Qtde: 48
PALAVRA: attended                      	Qtde: 32
PALAVRA: attention                     	Qtde: 128
PALAVRA: attentions                    	Qtde: 16
PALAVRA: attentive                     	Qtde: 16
PALAVRA: attire                        	Qtde: 16
PALAVRA: attitude                      	Qtde: 32
PALAVRA: attracted                     	Qtde: 16
PALAVRA: attractions                   	Qtde: 16
PALAVRA: au                            	Qtde: 16
PALAVRA: audacious                     	Qtde: 32
PALAVRA: audacity                      	Qtde: 32
PALAVRA: austere                       	Qtde: 16
PALAVRA: authenticity                  	Qtde: 16
PALAVRA: author                        	Qtde: 32
PALAVRA: authorities                   	Qtde: 32
PALAVRA: authority                     	Qtde: 16
PALAVRA: autobiography                 	Qtde: 16
PALAVRA: autocrat                      	Qtde: 16
PALAVRA: autumn                        	Qtde: 48
PALAVRA: avail                         	Qtde: 16
PALAVRA: available                     	Qtde: 48
PALAVRA: availed                       	Qtde: 16
PALAVRA: avenge                        	Qtde: 16
PALAVRA: avenue                        	Qtde: 48
PALAVRA: averted                       	Qtde: 16
PALAVRA: avoid                         	Qtde: 64
PALAVRA: avoided                       	Qtde: 16
PALAVRA: awaited                       	Qtde: 16
PALAVRA: awaiting                      	Qtde: 32
PALAVRA: aware                         	Qtde: 128
PALAVRA: away                          	Qtde: 992
PALAVRA: awayyou                       	Qtde: 16
PALAVRA: awful                         	Qtde: 16
PALAVRA: awkward                       	Qtde: 16
PALAVRA: awoke                         	Qtde: 16
PALAVRA: axe                           	Qtde: 16
PALAVRA: b                             	Qtde: 64
PALAVRA: bachelors                     	Qtde: 16
PALAVRA: back                          	Qtde: 1168
PALAVRA: background                    	Qtde: 16
PALAVRA: bad                           	Qtde: 144
PALAVRA: bade                          	Qtde: 16
PALAVRA: badly                         	Qtde: 32
PALAVRA: baffled                       	Qtde: 16
PALAVRA: bags                          	Qtde: 16
PALAVRA: bait                          	Qtde: 16
PALAVRA: baker                         	Qtde: 224
PALAVRA: balance                       	Qtde: 16
PALAVRA: balanced                      	Qtde: 16
PALAVRA: balcony                       	Qtde: 32
PALAVRA: balks                         	Qtde: 16
PALAVRA: balustraded                   	Qtde: 16
PALAVRA: ban                           	Qtde: 16
PALAVRA: band                          	Qtde: 32
PALAVRA: bang                          	Qtde: 16
PALAVRA: bank                          	Qtde: 64
PALAVRA: banked                        	Qtde: 32
PALAVRA: banks                         	Qtde: 16
PALAVRA: banquet                       	Qtde: 16
PALAVRA: banquetinghall                	Qtde: 16
PALAVRA: bare                          	Qtde: 16
PALAVRA: bared                         	Qtde: 16
PALAVRA: baronet                       	Qtde: 672
PALAVRA: baronetit                     	Qtde: 16
PALAVRA: baronets                      	Qtde: 80
PALAVRA: barred                        	Qtde: 16
PALAVRA: barrels                       	Qtde: 16
PALAVRA: barren                        	Qtde: 48
PALAVRA: barrister                     	Qtde: 16
PALAVRA: barrow                        	Qtde: 48
PALAVRA: barrymore                     	Qtde: 1104
PALAVRA: barrymores                    	Qtde: 160
PALAVRA: bars                          	Qtde: 16
PALAVRA: based                         	Qtde: 32
PALAVRA: basis                         	Qtde: 48
PALAVRA: baskerville                   	Qtde: 1760
PALAVRA: baskervilles                  	Qtde: 368
PALAVRA: baskervillethat               	Qtde: 32
PALAVRA: baskets                       	Qtde: 16
PALAVRA: bath                          	Qtde: 16
PALAVRA: bathed                        	Qtde: 16
PALAVRA: battle                        	Qtde: 16
PALAVRA: baulk                         	Qtde: 16
PALAVRA: baying                        	Qtde: 32
PALAVRA: be                            	Qtde: 5568
PALAVRA: beak                          	Qtde: 16
PALAVRA: beam                          	Qtde: 32
PALAVRA: beams                         	Qtde: 16
PALAVRA: bear                          	Qtde: 48
PALAVRA: beard                         	Qtde: 240
PALAVRA: bearing                       	Qtde: 32
PALAVRA: beast                         	Qtde: 176
PALAVRA: beat                          	Qtde: 48
PALAVRA: beaten                        	Qtde: 16
PALAVRA: beating                       	Qtde: 16
PALAVRA: beauties                      	Qtde: 48
PALAVRA: beautiful                     	Qtde: 112
PALAVRA: beautifully                   	Qtde: 16
PALAVRA: beauty                        	Qtde: 64
PALAVRA: became                        	Qtde: 192
PALAVRA: because                       	Qtde: 480
PALAVRA: beckoned                      	Qtde: 16
PALAVRA: become                        	Qtde: 96
PALAVRA: becomes                       	Qtde: 64
PALAVRA: becoming                      	Qtde: 80
PALAVRA: bed                           	Qtde: 64
PALAVRA: bedroom                       	Qtde: 32
PALAVRA: bedrooms                      	Qtde: 16
PALAVRA: been                          	Qtde: 3536
PALAVRA: beenyes                       	Qtde: 16
PALAVRA: beetling                      	Qtde: 16
PALAVRA: befall                        	Qtde: 16
PALAVRA: befallen                      	Qtde: 16
PALAVRA: before                        	Qtde: 1504
PALAVRA: beg                           	Qtde: 96
PALAVRA: began                         	Qtde: 144
PALAVRA: begin                         	Qtde: 64
PALAVRA: beginning                     	Qtde: 48
PALAVRA: begins                        	Qtde: 16
PALAVRA: begun                         	Qtde: 32
PALAVRA: behind                        	Qtde: 480
PALAVRA: being                         	Qtde: 448
PALAVRA: beings                        	Qtde: 16
PALAVRA: belated                       	Qtde: 16
PALAVRA: belgian                       	Qtde: 16
PALAVRA: belief                        	Qtde: 32
PALAVRA: believe                       	Qtde: 304
PALAVRA: believed                      	Qtde: 16
PALAVRA: bell                          	Qtde: 32
PALAVRA: belliver                      	Qtde: 16
PALAVRA: belong                        	Qtde: 16
PALAVRA: belonged                      	Qtde: 32
PALAVRA: below                         	Qtde: 80
PALAVRA: bemused                       	Qtde: 16
PALAVRA: bench                         	Qtde: 16
PALAVRA: beneath                       	Qtde: 128
PALAVRA: benevolence                   	Qtde: 16
PALAVRA: benevolent                    	Qtde: 16
PALAVRA: bent                          	Qtde: 64
PALAVRA: bertillon                     	Qtde: 16
PALAVRA: beryl                         	Qtde: 48
PALAVRA: beside                        	Qtde: 80
PALAVRA: besides                       	Qtde: 64
PALAVRA: besmirched                    	Qtde: 16
PALAVRA: best                          	Qtde: 176
PALAVRA: betimes                       	Qtde: 16
PALAVRA: betray                        	Qtde: 16
PALAVRA: betrayed                      	Qtde: 16
PALAVRA: better                        	Qtde: 384
PALAVRA: between                       	Qtde: 528
PALAVRA: betwixt                       	Qtde: 16
PALAVRA: bewailing                     	Qtde: 16
PALAVRA: bewildered                    	Qtde: 16
PALAVRA: bewildering                   	Qtde: 16
PALAVRA: beyond                        	Qtde: 192
PALAVRA: bias                          	Qtde: 16
PALAVRA: big                           	Qtde: 32
PALAVRA: biggest                       	Qtde: 16
PALAVRA: billiardroom                  	Qtde: 32
PALAVRA: bills                         	Qtde: 16
PALAVRA: binary                        	Qtde: 16
PALAVRA: bind                          	Qtde: 16
PALAVRA: biography                     	Qtde: 16
PALAVRA: bird                          	Qtde: 48
PALAVRA: birdpractically               	Qtde: 16
PALAVRA: bit                           	Qtde: 64
PALAVRA: bite                          	Qtde: 16
PALAVRA: bits                          	Qtde: 16
PALAVRA: bitter                        	Qtde: 48
PALAVRA: bitterly                      	Qtde: 80
PALAVRA: bittern                       	Qtde: 16
PALAVRA: bitterness                    	Qtde: 16
PALAVRA: bitterns                      	Qtde: 16
PALAVRA: black                         	Qtde: 688
PALAVRA: blackbearded                  	Qtde: 48
PALAVRA: blackclothed                  	Qtde: 16
PALAVRA: blacker                       	Qtde: 16
PALAVRA: blackguard                    	Qtde: 16
PALAVRA: blackmailer                   	Qtde: 16
PALAVRA: blackmailing                  	Qtde: 32
PALAVRA: blackness                     	Qtde: 16
PALAVRA: blame                         	Qtde: 64
PALAVRA: blank                         	Qtde: 32
PALAVRA: blankets                      	Qtde: 16
PALAVRA: blast                         	Qtde: 16
PALAVRA: blazed                        	Qtde: 32
PALAVRA: blazing                       	Qtde: 80
PALAVRA: bleak                         	Qtde: 48
PALAVRA: bleaker                       	Qtde: 16
PALAVRA: bless                         	Qtde: 16
PALAVRA: blew                          	Qtde: 16
PALAVRA: blindly                       	Qtde: 32
PALAVRA: blinds                        	Qtde: 16
PALAVRA: blinked                       	Qtde: 16
PALAVRA: block                         	Qtde: 48
PALAVRA: blood                         	Qtde: 128
PALAVRA: bloodhound                    	Qtde: 16
PALAVRA: bloody                        	Qtde: 16
PALAVRA: bloom                         	Qtde: 16
PALAVRA: blotched                      	Qtde: 16
PALAVRA: blotting                      	Qtde: 16
PALAVRA: blow                          	Qtde: 64
PALAVRA: blown                         	Qtde: 32
PALAVRA: blows                         	Qtde: 16
PALAVRA: blue                          	Qtde: 64
PALAVRA: bluish                        	Qtde: 16
PALAVRA: blundering                    	Qtde: 16
PALAVRA: blur                          	Qtde: 16
PALAVRA: blurred                       	Qtde: 64
PALAVRA: boards                        	Qtde: 16
PALAVRA: boars                         	Qtde: 16
PALAVRA: boded                         	Qtde: 16
PALAVRA: body                          	Qtde: 288
PALAVRA: bog                           	Qtde: 64
PALAVRA: boggirt                       	Qtde: 16
PALAVRA: boghole                       	Qtde: 16
PALAVRA: bogie                         	Qtde: 16
PALAVRA: bogs                          	Qtde: 16
PALAVRA: boiling                       	Qtde: 16
PALAVRA: boldest                       	Qtde: 16
PALAVRA: bolt                          	Qtde: 16
PALAVRA: bond                          	Qtde: 16
PALAVRA: bonds                         	Qtde: 16
PALAVRA: bones                         	Qtde: 16
PALAVRA: book                          	Qtde: 16
PALAVRA: books                         	Qtde: 32
PALAVRA: booming                       	Qtde: 16
PALAVRA: boot                          	Qtde: 304
PALAVRA: boots                         	Qtde: 192
PALAVRA: bootsgave                     	Qtde: 16
PALAVRA: border                        	Qtde: 16
PALAVRA: borders                       	Qtde: 16
PALAVRA: bore                          	Qtde: 64
PALAVRA: born                          	Qtde: 16
PALAVRA: borne                         	Qtde: 32
PALAVRA: borough                       	Qtde: 16
PALAVRA: bosom                         	Qtde: 16
PALAVRA: botanical                     	Qtde: 16
PALAVRA: botany                        	Qtde: 16
PALAVRA: both                          	Qtde: 512
PALAVRA: bottle                        	Qtde: 32
PALAVRA: bottles                       	Qtde: 16
PALAVRA: bottom                        	Qtde: 48
PALAVRA: bought                        	Qtde: 64
PALAVRA: boulder                       	Qtde: 32
PALAVRA: boulders                      	Qtde: 112
PALAVRA: bouldersprinkled              	Qtde: 16
PALAVRA: bound                         	Qtde: 80
PALAVRA: bounded                       	Qtde: 16
PALAVRA: bounding                      	Qtde: 48
PALAVRA: bounds                        	Qtde: 16
PALAVRA: bourgeois                     	Qtde: 16
PALAVRA: bow                           	Qtde: 16
PALAVRA: bowed                         	Qtde: 48
PALAVRA: box                           	Qtde: 64
PALAVRA: boxroom                       	Qtde: 16
PALAVRA: boy                           	Qtde: 272
PALAVRA: boyish                        	Qtde: 16
PALAVRA: boys                          	Qtde: 48
PALAVRA: bracken                       	Qtde: 16
PALAVRA: bradley                       	Qtde: 16
PALAVRA: bradleys                      	Qtde: 16
PALAVRA: brain                         	Qtde: 16
PALAVRA: bramble                       	Qtde: 16
PALAVRA: brambles                      	Qtde: 16
PALAVRA: branches                      	Qtde: 48
PALAVRA: brandy                        	Qtde: 16
PALAVRA: brandybottle                  	Qtde: 16
PALAVRA: brandyflask                   	Qtde: 16
PALAVRA: bravely                       	Qtde: 32
PALAVRA: bravest                       	Qtde: 16
PALAVRA: breach                        	Qtde: 48
PALAVRA: bread                         	Qtde: 48
PALAVRA: breadth                       	Qtde: 16
PALAVRA: break                         	Qtde: 80
PALAVRA: breakfast                     	Qtde: 160
PALAVRA: breakfasttable                	Qtde: 16
PALAVRA: breaking                      	Qtde: 64
PALAVRA: breast                        	Qtde: 16
PALAVRA: breastpocket                  	Qtde: 16
PALAVRA: breath                        	Qtde: 80
PALAVRA: breathed                      	Qtde: 32
PALAVRA: breathing                     	Qtde: 16
PALAVRA: breathless                    	Qtde: 16
PALAVRA: breathlessness                	Qtde: 16
PALAVRA: breed                         	Qtde: 32
PALAVRA: brewing                       	Qtde: 16
PALAVRA: bribed                        	Qtde: 16
PALAVRA: brick                         	Qtde: 16
PALAVRA: bridge                        	Qtde: 32
PALAVRA: bridle                        	Qtde: 16
PALAVRA: bright                        	Qtde: 96
PALAVRA: brightly                      	Qtde: 48
PALAVRA: brilliant                     	Qtde: 16
PALAVRA: bring                         	Qtde: 160
PALAVRA: bringing                      	Qtde: 64
PALAVRA: brings                        	Qtde: 48
PALAVRA: bristled                      	Qtde: 16
PALAVRA: bristling                     	Qtde: 32
PALAVRA: british                       	Qtde: 64
PALAVRA: broad                         	Qtde: 192
PALAVRA: broader                       	Qtde: 16
PALAVRA: broke                         	Qtde: 192
PALAVRA: broken                        	Qtde: 224
PALAVRA: bronze                        	Qtde: 32
PALAVRA: bronzed                       	Qtde: 16
PALAVRA: bronzing                      	Qtde: 16
PALAVRA: brooding                      	Qtde: 16
PALAVRA: brother                       	Qtde: 400
PALAVRA: brotherinlaw                  	Qtde: 16
PALAVRA: brothers                      	Qtde: 32
PALAVRA: brought                       	Qtde: 416
PALAVRA: brow                          	Qtde: 32
PALAVRA: brown                         	Qtde: 160
PALAVRA: brows                         	Qtde: 64
PALAVRA: bruises                       	Qtde: 16
PALAVRA: brunette                      	Qtde: 32
PALAVRA: brusquely                     	Qtde: 16
PALAVRA: brutal                        	Qtde: 48
PALAVRA: brutality                     	Qtde: 16
PALAVRA: brute                         	Qtde: 80
PALAVRA: bubbling                      	Qtde: 16
PALAVRA: buck                          	Qtde: 16
PALAVRA: bucket                        	Qtde: 16
PALAVRA: budget                        	Qtde: 16
PALAVRA: building                      	Qtde: 48
PALAVRA: buildings                     	Qtde: 32
PALAVRA: built                         	Qtde: 48
PALAVRA: bulbousheaded                 	Qtde: 16
PALAVRA: bulk                          	Qtde: 16
PALAVRA: bulky                         	Qtde: 16
PALAVRA: bulldog                       	Qtde: 16
PALAVRA: bundle                        	Qtde: 48
PALAVRA: bundlethe                     	Qtde: 16
PALAVRA: burden                        	Qtde: 32
PALAVRA: burglar                       	Qtde: 16
PALAVRA: burglaries                    	Qtde: 16
PALAVRA: buried                        	Qtde: 32
PALAVRA: burn                          	Qtde: 64
PALAVRA: burned                        	Qtde: 128
PALAVRA: burning                       	Qtde: 32
PALAVRA: burrow                        	Qtde: 32
PALAVRA: burrows                       	Qtde: 16
